0,1,2,3,4
View,Surname,Given names,Rank,Regiment
,Alexander,W.R.E.,Captain,53rd N.I.
,Anderson,J.W.S.,Ens.,22nd N.I.
,Andros,E.B.,Ens.,H.M.'s 61st Foot
,Bagenall,L.G.,,H.M.'s 37th
,Banks,J.S.,Maj.,33rd N.I.
,Barilico,,Mrs.,
,Barker,T.,Mr.,
,Barnard,,Gen.,H.M.'s forces
,Barnes,C.H.,Lieut.,art.
,Barnes,,Mrs.,
,Bates,C.E.,Lieut.,36th N.I.
,Bell,,Mrs.,
,Bennett,Eliza,,
,Bevrill,,Mrs.,
,Birkett,E.,Ens.,H.M.'s 37th
,Boyce,,Mrs.,
,Brett,Henry,,
,Bristow,,Mrs.,
,Brothrick,,Mrs.,
,Browne,H.,Lieut.,H.M.'s 84th regt
,Brydon,W.,Dr.,
,Buckley,J.,Conductor,
,Burn,,Misses,
,Burns,,,H.M.'s 75th
,Burnside,H.E.H.,Capt.,H.M.'s 61st
,Burton,C.E.,Maj.,40th N.I.
,Butler,,Mrs.,
,Campbell,,Lieut. col,
,Campbell,J.A.,Lieut.,17th irr. Cav
,Carroll,,Mr. and Mrs.,
View,Surname,Given names,Rank,Regiment
,Carter,J.W.,Capt.,54th N.I.and 5th Gwalior
,Casey,George,,
,Chester,,,Ghoorka
,Coar,,Serjt.,Kotah cont.
,Cocks,A.H.,,C.S.
,Cocks,,Mrs.,
,Codd,P.S.,Ens.,73rd N.I.
,Colgan,,Mrs.,
,Connor,W.O.,,
,Conolly,Marianne,,
,Conway,,,
,Cooper,,Mrs.,
,Cousens,James,,
,Coyman,,Mrs.,
,Currie,E.,Capt.,H.M.'s 84th regt.
,Currie,R.,Lieut.,art.
,Dallas,,Mrs.,
,Daniells,J.W.,Lieut.,1st Eur. Regt.
,Darden,Weston,,
,De Brett,H.,Lieut.,57th N.I.
,Delafosse,H.G.,Lieut.,53rd N.I.
,Dempster,,Mrs.,
,Dempster,Charles,,
,Dempster,Henry,,
,Dempster,William,,
,Dennys,,,
,Derby,,Mrs.,
,Doomey,,Mrs.,
,Dorin,,Mrs.,
,D'Oxhar,,Supt.,
View,Surname,Given names,Rank,Regiment
,Dunbar,C.,Capt.,H.M.'s 10th
,Duncan,Henry,,
,Eckford,R.,Ensign,10th N.I.
,Edmonstone,,Mr. and Mrs.,
,Ellice,H.E.,Lieut.,1st lt. cav.
,Ellis,C.J.H.,Lieut.,6th Carabineers
,Elms,E.J.,Capt.,1st N.I.
,Erskine,H.J.,Ens.,H.M.'s 10th reg.
,Faithfull,G.C.N.,Lieut.,H.M.'s 75th
,Fisher,F.,Rev.,
,Fitzgerald,H.J.,Lieut,10th N.I.
,Fitzgerald,John,,
,Fitzgerald,Margaret,,
,Fitzgerald,Mary,,
,Fitzgerald,Tom,,
,Fitzgerald,Ellen,,
,Fraser,,Mrs.,
,Fraser,,Miss.,
,Garner,H.S.,Asst. surg.,14th Irr. Cav.
,Gibbon,,Mrs.,
,Gill,Jane,,
,Gillie,,Mrs.,
,Gilpin,,Mrs.,
,Gilpin,William,,
,Gilpin,Harriet,,
,Gilpin,Sarah,,
,Gilpin,Jane,,
,Gilpin,F.,,
,Glasgow,,Miss,
,Green,,Mrs.,
View,Surname,Given names,Rank,Regiment
,Greensill,T.M.,Capt.,H.M.'s 24th
,Greenway,,Mr.,
,Greenway,,Two Mrs.,
,Greenway,F.,,
,Greenway,Martha,,
,Greenway,Jane,,
,Greenway,John,,
,Greenway,Mary,,
,Greenway,,Mrs.,
,Greenway,C.,Mrs.,
,Greenway,,Mr.,
,Griffiths,C.I.,Lieut.,61st N.I.
,Gurney,,Mrs.,
,Guthrie,,Mrs.,
,Guthrie,,Mrs.,
,Hall,W.H.,,
,Harlow,,Mrs.,
,Harris,,Capt.,Gwalior cont.
,Harris,,Mrs.and children,
,Harris,,Mrs.,
,Hawes,C.W.,Lieut.,43rd N.I.
,Haynes,,Mrs. and Miss,
,Heathcote,T.G.,Dr,10th N.I.
,Heathcote,,Mrs.and baby,
,Heathfield,F.W.,Ens.,Bombay 27th N.I.
,Herberden,A.C.,,civil eng.
,Heles,,Mrs.,
,Henderson,D.,Ens.,10th N.I.
,Hensay,,Capt.,
,Hill,J.,Capt.,1st cav.
View,Surname,Given names,Rank,Regiment
,Hill,,Mrs.,
,Hill,J.,Lieut.,art.
,Hillersdon,C.G.,,
,Hillersdon,Lydia L.,Mrs. and children,
,Holland,F.W.,Lieut.,38th N.I.
,Hornet,Lizzie,,
,Howell,W.R.H.,Capt.,1st Eur. regt.
,Hubbard,A.R.,Rev.,
,Huxhams,,,
,Ingilby,R.M.,Lieut.,7th N.I.
,Jacobe,Henry,,
,James,William,,
,Jenkins,C.J.,,C.S.
,Jenkins,,Mrs.,
,Jenkins,R.U.,Capt.,2nd cav.
,Johnson,,Mrs.,
,Jones,,Mrs.,
,Jones,E. Eng.,Lieut.,Engr.
,Keelan,,Mrs.,
,Kemp,D.,Capt.,5th N.I.
,Kinride,,Mrs.,
,Kirk,,,
,Laurie,,Capt.,
,Law,W.G.,Capt.,10th N.I.
,Lee,James,,
,Levy,,Mrs.,
,Lewis,James,,
,Lindsay,W.,Maj.,
,Lindsay,G.,Ens.,1st N.I.
,Lindsay,,Mrs.,
View,Surname,Given names,Rank,Regiment
,Lindsay,,,
,Lindsay,Alice,,
,Lloyd,B.P.,Capt,11th N.I.
,Lowis,J.N.,,C.S.
,Ludlow,S.O.E.,Capt.,Mad. sup.engr.
,Macdougall,C.A.,Lieut.,9th N.I.
,Mackenzie,,Mrs.,
,Mackillop,J.R.,,C.S.
,Mactier,A.,Capt.,6th L.C.
,Maltby,S.,Civ. surg.,
,Martin,J.N.,2nd Lieut.,art.
,Martindell,Jeremiah,,
,Mayne,,,
,M'Nair,R.,Lieut col.,17th N.I.
,Medhurst,J.W.,Lieut.,H.M.'s 10th reg.
,Moore,,Mrs.,
,Morpet,Jane,,
,Munro,R.,Capt.,10th N.I.
,Murray,,Dr.,
,Murray,,Mrs.,
,Newenham,,,
,Nock,W.,,
,Norris,J.T.,Lieut.,Bom.27th N.I.
,O'Brien,,Mrs.,
,Packe,C.F.,Lieut.,4th N.I.
,Parrott,,Mrs.,
,Paterson,,Mrs.,
,Peel,,,
,Peter,,Mrs,
,Phillimore,W.T.,Capt.,10th N.I.
View,Surname,Given names,Rank,Regiment
,Phillott,Johnson,Capt.,10th N.I.
,Pollock,H.T.,Lieut.,35th N.I.
,Power,John,,
,Probett,,,
,Proby,,,
,Pullan,A.,Lieut.,36th N.I.
,Rees,,,
,Reeve,Mrs,,
,Reeve,Mary,,
,Reeve,Catherine,,
,Reeve,Ellen,,
,Reeve,Nelly,,
,Reeve,Jane,,
,Reeve,Cornelia,,
,Reeve,Dem,,
,Reid,,Mr.,
,Reid,Susan,,
,Reid,James,,
,Reid,Julia,,
,Reid,C.,,
,Reid,Charles,,
,Reid,,,
,Renard,S.G.C.,B. Major,Mad.1st Eur. Regt.
,Richardson,J.A.,Lieut.,Mad.1st Eur.
,Rivers,C.R.,Lieut.,H.M.'s 75th
,Robertson,W.,Major,art.
,Rolfe,W.A.,Surg.,
,Ross,S.,Lieut.,9th N.I.
,Russell,,Mrs.,
,Sale,E.,Ens.,H.M.'s 37th
View,Surname,Given names,Rank,Regiment
,Sampson,Elizabeth,,
,Saunders,,Mrs.,
,Sanders,,Mrs.,
,Saunders,,Mr.,
,Sandwith,F.B.,Lieut.,H.M.'s 10th
,Sandy,D.C.,,
,Seth,,Miss,
,Seton,J.T.,Lieut.,Mad. 1st Eur.
,Sharpe,J.E.,Capt.,46th N.I.
,Shebbeare,R.H.,Lieut.,60th
,Shepherd,H.J.,,
,Shepherd,,,
,Shepherd,,Mrs.,
,Sherer,,,
,Sheridan,W.,Mrs.and child,
,Showers,C.L.,Capt.,60th
,Simpson,J.R.,Lieut.,10th N.I.
,Simpson,H.,Lieut.,78th Highlanders
,Simpson,Henry,,
,Simpson,William,,
,Sinclair,,Miss,
,Smith,H.,Lieut.,14th N.I.
,Sotheby,G.W.M.,2nd Lieut.,art.
,Stake,,,
,Staples,,Serg.,art.
,Stapleton,R.T.P.,Lieut.,1st Lt. Cav.
,Stephens,,Ens.,60th Rifles
,Stubbs,F.J.,Lieut.,Bbay. 27th N.I.
,Sutherland,,Mrs.,
,Swetenham,C.W.,Lieut.,10th N.I.
View,Surname,Given names,Rank,Regiment
,Swinton,A.A.,collector,
,Theobald,,Mr.,
,Thompson,,,art.
,Thomson,F.H.,Lieut.,53rd N.I.
,Thomson,,Mrs.,
,Thornhill,,judge,
,Tivett,,Mrs.,
,Tombs,,magistrate,
,Tomkinson,F.H.,Lieut.,53rd N.I.
,Tucker,T.T.,Leiut. col.,8th L.C.
,Tucker,,Mrs.,
,Venow,E.,Ens.,40th N.I.
,Twyford,D.C.E.,Lieut,2nd Eur. regt.
,Wade,F.M.,Mrs.,
,Walker,J.T.,Lieut.,By. eng.
,Walker,David,,
,Walker,,Mrs.,
,Wallet,,Miss,
,Wallis,,Mrs.,
,Walter,O.C.,Ens.,45th N.I.
,Watkins,Henry,,
,Watson,W.C.,,
,Webster,,Mr.,
,West,Elizabeth,,
,Weston,F.C.,,
,Wheeler,H.M.,Brig.,
,White,,Miss and 2 Mrs.,
,Williams,,Miss,
,Willup,,,
,Wilson,,Dr.,
View,Surname,Given names,Rank,Regiment
,Woollen,,Mrs.,
,Woolyan,,Mrs.,
,Wrexham,,Mrs.,
,Bennett,J.S.,Lieut.,1st N.I.
,Bignell,F. D'O.,Capt.,10th N.I.
,Clerk,M.G.,Ens.,1st N.I.
,Fraser,J.H.,Lieut.,1st N.I.
,Fisher,,Mrs and child,
,Goldie,A.,Col.,46th N.I.
,Maclean,,Mr.,Indigo factor
,Smith,G.A.,Lieut. col.,10th N.I.
,Tucker,A.,Maj.,9th Light Cav.
,Turnbull,,Lieut.,
,Watson,,Capt.,
