source_file,page_number,category,ai_confidence,ad_text
Classified_Ad_22_--_No_Title.pdf,1,Other,0.372,Classified Ad 22 Title Times of India ( 1861-) 1985: ProOuest
Classified_Ad_22_--_No_Title.pdf,1,Matrimonial,0.669,"CLASSUED ADVBRTTYMENTS wanted brides wanted brides BRAHMIN EXEcuTIVE 301 REFINED Invltos bolleroirl nvteteratit;Isentron trom denk: Cld Prilido:"" DA: Marriaae lutely no bar Wrovoh Box ""{21P Tlmo 1 tem Mmo Indla, Bombay 4oq 001_ BAHRANI MUSLIM SEtO30025 manted {Hveaaurhy;I cgoverrment ecteo E settlo 77a Sena Sumi Reoly Boolo.yeco 081. Times Mim EreAr Vro wlde Jiagilrt enalnaer India 130 deznentlox c1= To Aoa 0 4 MONC CCOUNTANT 'Jalo, Iidowcr Jr6 33 (to daughter havi ang uat waht 47C1060484 M IDENC nITEL 760 Rea Leuva Patol curgeon havlng Ing Irom seduate 0 No 9x Box Tmt) MNA} aally"
Classified_Ad_22_--_No_Title.pdf,1,Other,0.454,dv intallloamt sikmt Bart; M 0013 * Imue 0 0o1. Ivites3H84 Denekioi
Classified_Ad_22_--_No_Title.pdf,1,Other,0.349,MHi Keior UcaTED DAI8zo Z8heo B6 At Gold 30} z000
Classified_Ad_22_--_No_Title.pdf,1,Other,0.317,AUJ67(BDALDI) ENGINECR.] 32 I985 Allg Air Mauniic Sphhv Ien' 913 Timg 08
Classified_Ad_22_--_No_Title.pdf,1,Matrimonial,0.512,A4uNG Id Leilar ently nddon; Not {eaeroral Idowy Earlv praduata Sopl
Classified_Ad_22_--_No_Title.pdf,1,Other,0.259,"Ca Izt 6 Aoecound 6 ""{ndh Joio D)y qualied; #D0 cdalipiid rtis Slnd56 Smiiy foo hn cultured, Rebh with Dost, Sooo, Horoxrene; & dowiy 3o6 401-* Ine 6 Be oi 'nnet' Jtacc;' 8 ALiANCE_ Invited Mitto O9_ 8 Vadamal 33 652 27 Ro E zaat SeNYutED Inde penJE industt 8 170 ' cms_ handsomc 6 B.e 66(2500 brleht helor Uthuk tUn nurting Z hor} #hiky Z7 Sotkece Mriaurprue 3 Phone Om 'Comnbic Oathodox SYRIAN AlLiancl InvITEd"" FROM ton 29 162 electr 1 holder Graduate Branm lo, O.E. (electronlcs} Esb1k 5 67744 #e Timc Ing tron 1026 caste_ Reply % JMadt Indla; Bombay Oot _ drawlng tour ~ngures Foorizoseeo/35_ working AlliaNcb_ INVITED Porl 67 MV #etvleds NalrirrwlthoBhoradtetr Foi647, 70p ithrS ""EFRE77687 Dubllc IPchooi Indla bombay Io00 ducatec eclentist (senlor class @b ALLIaNCL INVITED From Mxivezst Daln; eiaer tbrothefncamcewnintsei eleticng; batutitui oretor bly Mizi83 eucated professlonally Bomb} 028 Con Briira Ie aoly Box ereorre& 02 'tina? 36 Tkm2 7i67e Benbty Ai3e Delhl-2 JACODITE] CMR MiovedNceneiovineRalfiotor Tamii Rz03 employer Soprov38011 Jovinourcht Cor {rom Upp aeeoond 057 mtt 86744 mlly Repiy Iim Indla: Bombay-4o6"" oooo1 3-5 Mndia 3 Azso83(X) INGe {VIOGR 1638m4 MatcH FOR BRAHMIIN Boy Tonakra ""24ii2, Pum- 24001-. Arora undernraduate Gustexsra 7sa'| 8p1; 6 Esine3s. 753 with alse Indla coner Oein)- Timc} JJne To ""a3 (CS)L 001 AliiANCE 2502 MatCh UPTO invITed FROR VCM mlly fo Sindalenalneer 30176812800 exquisltely beautltul Benga Icgally Fulara ted Habllitles slmpe Mar- ~oenelyamly; attractlve rlace. Indlaticulew 04808CS from for Benaa Ties telhlz M Gradua Macine Enalneer nndsanxe ernlng heucra- -Match FOR PUNJABF TcQABo8(c30 Imth"" excellent No Yorcec without encumbrances /commitments # Eael87sic3dsiz enalneer 168 healthy handsom 4884161858 pre Fadla based Ginada E Intends OhiouAti settllng NAMBOODiRi currently Deini_ Parents settled Youth @ working= for Ion rM 85 South ""0Pelttest Caste province bar. trom"" employed Oli Box Times Indle"" ea3e 8o= Dolni rCo4t juat 079 Tncs""% {ab coitc Jndb, TIMaNIAL correse 001 boy 26116512200 Nachae souCHt FOR Nindronconte Icturer balone Tesoectab dwalam_ Sudda Jathak smart Ioodlooklng bodstsF Ilrls Wl torabiy Send detalled employeo brkle ""Odturer Eo Tlmes Ind Torokee and 11213 bx5 32} Vime} Uodla NONHARITHA FAiR BeaUtiful Gr 25049 duate Iyer gir preterably employed dou ""praduate omcer Yea Imharas 321168 Rep vatoiane welt times India Bom 400 Q486 ROPOSALS invitec FOR alshnav doctor (Bomba 155 Owi Jens parents educated beautitui Itureg Iter prclerred baleo Guloratf Box 821 Tlmes India Bombay 400 001 Bombay 400 Oo1 . Az5070(= Az4603(X)"
Classified_Ad_5_--_No_Title.pdf,1,Other,0.362,"Classified Ad 5 No Title The Times of India (1861-); Jun 9, 2002; ProQuest Historical Newspapers: The Times of India Pg. A12"
Classified_Ad_5_--_No_Title.pdf,1,Other,0.261,"MATCH for 26/166/50 Engr PREMIERIWNSTITUTE PG; WKG Gugirlirom Engr QNLY) IMBA well gettled boy Caste no bar: SCIST excuse Reply CA/MTECH(IT) to sgnrt@yahoo com or Write INDIA BASED Box No. BAR 471242C Times of Indla, Baroda3390005 Banker /MNC groom for MATCH for slim fair 25/155 KANYAKUBJA KhatrMl Arora glrl BE KGG3P BRAHMIN GIRL wkg MNC Gurgaon send Box_No DEL 207279R Tlmes 28/5'5' SLIMFARR of India; New Delhi 110002 VERY PRETTY MBA email gndass83@yahoo com # 06542.76825, 06542-86611 MANAGER IN 26, beautiful, fair; dhobiS/w LEADING MNC Engr at Pune Caste no bar: Highly educated, Cultured BPce GorsNC@vahoo; {f05667R Professional family Match Box No invited from Brahmin/ Times of India, Mumbaf 1 upper caste professional Hindu families with match- GOVERNMENTI DEFENCE ing credentials Reply with BIHPto Box MUM LADYARMY Offlcer 103882C Times of India (Lieutinent ENGRS CORPS Mumbai 1 26/54""= match from decent familles_ Preference to WELL Officers of Armed Forces or settled Profes Gazetted State/ Central sional match 'for Ff888832987 %eadox} Servants_ smart @? Rdt757n60 biagtra emaikcchandus@yahoocom father Retd_ Col now in Busi ness: Caste no bar Send BHP Box No DEL 207199C Times 8 IASI ALLIED India;New Dehhi 1002 SERVICES VAISH Gupta girl 25/, 5*9"" convent educated CA, MBA SUITABLE match for IRAS Pure Veg: slightly manglik 28, 5*5"" smart girl from IAS Parent from West UP; settled IPS allied service boy in Mumbai: She is interested Email: saini4u@yahoo.com in practice Please send bio or Ph (0265) .771291. data and horoscope to Box No MUM 705768K Times MATCHpref Teetotaller for of India, Mumbai 400001 27/153 v'fair b'ful Mabishya girl IAs Bergiea PROF match for Punjabi wrkng with Ordnance Fac- girl, 26/ 5*8' MBA working in tories Services Caste no bar_ a reputed Foreign Bank as sdas1974@rediffmail com or Product Manager Contact Box No DEL 207638C Times Box No HYD 851268C Times of India, New Delhi 110002 House Banjara Hills_ Hyde- GOVT Offr MPSC 25/5'4"" rabad 500034 or Email: Bhaivsar: girl nuptials53@yahoo.Co.in Prof smart ocek BBaOfSE! boy trian any cast Pune.5657722 MULTINATIONAL E-mail: itsminal@yahoo.com IASIALLIED IES IFS match MATCH DESIRED: FOR 25/157 VEAIR We are a very well known PRETTY SHRV Punjabi family of Delhi ASTAVADSPMP with established busi- nesses and properties POLICE) GIRL Our is well educated_ Father Superintending En- Progissionaely cuafified gineer (PWD) Kindly write and belongs to the old Box No DEL 205939R Times of India, New Delhi 110002 school of principle and traditional values. 23 BRAHMIN IPS girl_ years Old, she is 5'6"" 'tall 30/159 seeks IASZIPS/IRS boy Caste & smart. Please address no bar Contact Dr Mahesh any correspondence to Ghugari; Bhidebaug; Deopur; Box No DEL 207136C Dhule (Maharashtra Tlmes of India Ph: 0256-224614, 09823179619_ New Delhl- 170002 MBAJCA Emall: combil @vsnl.com PROF qualified match pref BE/ CA/MBAIMCA for Pun: jabi: Khatri slim smart ` fair other PROFESSIONALS EFz4 MBA 245*2"" workingin IT Early decent marriage 30/ 5'3"" Punjabi convented Contact:0522-457176 between Graduate beautiful girl_ from ibe to 1Oa.m. Write Box No: cultured family, well placed ir 502329C Times of MNC , Salary 5 fig:= slighi India,Lucknow-226001 problem of white spots on PROPOSAL for hly edtd fingers & feet Boy should be cultured conventd; Pb Khatri Professionally qualified with MBA Masters (IIMC), 29/ pleasing personality & well G6c}, MBealMasters{MNCg234 settled. Caste no bar Repimec to Exe_ Tata IT Concern;_job Box No MUM 104406R tfr'able Father Add_ Secy of India, Mumbai-1 Rank Offr: Status Delhi rozty ALLIANCE Pref. for MBA/Engr invited Profl from Cl-1 from status C-A/M.B.A/ Imly Doctor for good -ond B/P (R) Ph: '0134-G334883 looking prof qualified giri Box_No DEL 207620R 27/165 M.A B.Ed Times appearing of India, New Delhi 110002 IA.S Netl Set. Exams Con- divineo2@indiatimes com tact Box No MUM 105031C Times of India,_Mumbai 1 Email tossa@rediff.com Alllance Invited tor Guf BUDDHIST Brahmin Girl , 3040BAL ALLIANCE for Maharash 5'39verybeautiful Jokc trian Buddhist girl 32/151 slim good ooking M.Com Monggerin Morketingin wrkg as Sr Auditor in central Govt: dept Ph: 95251-696014 Leqding EMCG_Co: Seeks ALLIANCE invited for professiondlly qualilied Baudh 33/150 graduate fair smart wvorkiRecite girl (Semi groom from reputed fomily: Government) with bio- data and contact no to Write with BHP(R) to Box No_ BoxN3 CEGJEG85, or Write MUM [04946K Times MuM J04497C Times of of India Mumbai -1 Indio, Mumbai-1 or Email SNAETSBuddhseekseacber ce from well employed boys_ nbjc2I @hotmailcom Caste no bar/ 6503184 Write Box No MUM 104771C Times AGARWAL Smart,Beauti of India; Mumbai 400001 ful 25/150 , MBA ecom from Premier Institute of Pune; in BE 'Eop F Maharashtrian 24/_ collaboration with IBM; Boy 165 Girl invites Engg/ can be BE,MBA,MS MCA_ Govt/B man,P:020-6811499 aft MCM Respond with BP(R) er 7pm/ yogisi4@yahoo.com agarwalse@rediffmailcom Or upto June end 020-5437478 Write No: PUN 801416K CHRISTIAN Box Times House,FC_ Rd,Pune- WELL settled SMRC par- PROF'LY qualified match ents in Mumbai invite pro- for b'ful_ slim, charming;tall posal_ for their daughter Punjabi girl 24/165/MBA/6+ 27/5'/ MCom/ employed In LPA emp in reputed Fin: Ser reputed firm from well Co father retd Sc: Army settled professionals/ busi: Offt: settied in S Delhi_ Caste ness boys_ Write Box.No no bar Box No DEL 207483C MUM 105221C Times of Times Of India, New Delhi * India, Mumbai 400001"
Classified_Ad_5_--_No_Title.pdf,1,Other,0.366,Reproduced with permission of the copyright owner. Further reproduction prohibited without permission:
